Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Tank_Capacity_L,Air_Delivery_CMH,Coverage_Area_sqft,Cooler_Type,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-150-l-premium-commercial-air-cooler-ghracdwe3451.html,,Standard,SKUGHRACDWE3451,52290.00,24490.00,N/A,"Key Features Large Size Tank Capacity : 150 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery of 12000 m 3 / h : Suitable for covering bigger area by moving large quantity of air into the surrounding area 55.88 cm Large Metal Blade Fan: Powerful Air throw & noiseless cooling 3 Side Honeycomb Pads with Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. XXL Ice Chamber: For Instant, refreshing and effective cooling. 3 Side Chill Drip Technology: Ice Cold water from the ice chamber comes in direct contact with all three side honeycomb pads to ensure powerful cooling. Dust Filter Nets: Removes harmful substances from air",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracdwe3451_1_.jpg,150,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ce certified, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-prime-100-l-premium-commercial-air-cooler-ghraccne100.html,,Standard,SKUGHRACCNE100,39290.00,19290.00,N/A,Key Features Large Tank capacity : Tank capacity of 100 L assures one time water filling for longer duration Powerful Air Delivery : Air Delivery of 8500 m³/h for moving large volume of Air into the room. 3 Side Honeycomb Pads with Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/e/aero_prime_100_1_1.jpg,100,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-dlx-125-l-premium-commercial-air-cooler-ghraccpe125.html,,Standard,SKUGHRACCPE125,37790.00,18490.00,N/A,Key Features Large Tank capacity : Tank capacity of 125 L assures one time water filling for longer duration Powerful Air Delivery : Air Delivery of 7500 m³/h for moving large volume of Air into the room. 3 Side Honeycomb Pads with Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/e/aero_125_2.jpg,125,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,premium-commercial,https://havells.com/home-appliances/air-coolers/premium-commercial-coolers/aero-dlx-100-l-premium-commercial-air-cooler-ghraccpe100.html,,Standard,SKUGHRACCPE100,34490.00,16890.00,N/A,Key Features Large Tank capacity : Tank capacity of 100 L assures one time water filling for longer duration Powerful Air Delivery : Air Delivery of 7500 m³/h for moving large volume of Air into the room. 3 Side Honeycomb Pads with Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/e/aero_dlx_100__1.jpg,100,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/convertible-80-l-desert-cooler-ghraccce1851.html,,Standard,SKUGHRACCCE1851,29890.00,13990.00,N/A,"Key Features Large Size Tank Capacity : 80 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area 2-in-1 Convertible Cooler with Dual Functionality: Can be easily stored and used as side table in packed condition 5 Leaf Metal Blade: Long lasting Metal blade fan provides Noiseless cooling & rotates faster Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghraccce1851_1.jpg,80,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/kace-65-l-desert-air-cooler-ghracdye0191.html,,Standard,SKUGHRACDYE0191,21890.00,10690.00,N/A,"Key Features Large Tank capacity : Tank capacity of 65 L assures one time water filling for longer duration Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area XXL Ice Chamber: Instant, refreshing and effective cooling Warranty : 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/a/kace_65.jpg,65,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolmax-70-l-desert-air-cooler-ghraccae1851.html,,Standard,SKUGHRACCAE1851,20590.00,11290.00,N/A,Key Features Large Tank capacity :Tank capacity of 70 L assures one time water filling for longer duration Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area 3 Side Honeycomb Pads with Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolmax_70.jpg,70,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolblast-55-l-desert-air-cooler-ghraccbe1851.html,,Standard,SKUGHRACCBE1851,18790.00,9890.00,N/A,Key Features Tank capacity : Tank capacity of 55 L assures one time water filling for longer duration Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area 3 Side Honeycomb Pads with Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolblast_1.jpg,55,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolwave-100-l-desert-cooler-ghraccje185.html,,Standard,SKUGHRACCJE185,27290.00,13990.00,N/A,"Key Features Large Size Tank Capacity: 100 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Completely Collapsible Louvers: Prevents dust & insects entering air cooler Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. Bacteria Shield Honeycomb Pads Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens by 99.9 %.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghraccje185-front.jpg,100,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolwave-55-l-desert-cooler-ghraccje55.html,,Standard,SKUGHRACCJE55,20190.00,10190.00,N/A,"Key Features Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Completely Collapsible Louvers: Prevents dust & insects entering air cooler Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. Bacteria Shield Honeycomb Pads Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens by 99.9 %. Multi Directional Castor Wheels with Brakes: Easy portability",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/1/s/1st_4.jpg,N/A,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolgrande-90-l-desert-air-cooler-ghracbke090.html,,Standard,SKUGHRACBKE090,26890.00,13290.00,N/A,"Key Features Large Size Tank Capacity: 90 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Bed Height Fan Position: Maximized air flow towards user",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbke090_1_.jpg,90,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolgrande-70-l-desert-air-cooler-ghracbke070.html,,Standard,SKUGHRACBKE070,23990.00,11590.00,N/A,"Key Features Large Size Tank Capacity : 70 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Bed Height Fan Position: Maximized air flow towards user Note : Product images are for illustrative purposes only and may differ from the actual product",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbke070_6_.jpg,70,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/ghracbke9x0.html,,Standard,SKUGHRACBKE9X0,29490.00,14490.00,N/A,"Key Features Large Size Tank Capacity: 90 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Electronic Panel & Remote: Easy operation Timer Function: Setting operation time as per convenience Low Water Alarm: Provides indication for low water in tank Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolgrande_i_90.jpg,90,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolgrande-inverto-90-l-bldc-desert-cooler-ghracbke180.html,,Standard,SKUGHRACBKE180,33690.00,16990.00,N/A,"Key Features Large Size Tank Capacity : 90 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful air delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area BLDC Inverter Technology: Energy-efficient technology for best performance and cost-cutting over electricity bills in Air-Coolers. Microchip Controlled 100% Copper Winding BLDC Motor : BLDC Motor keeps the circuit cool by ensuring minimal heat generation through 100% Copper Winding. Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbke180_4_.jpg,90,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolaire-115-l-desert-air-cooler-ghracaae019.html,,Standard,SKUGHRACAAE019,32610.00,14690.00,N/A,"Key Features Large Size Tank Capacity : 115 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful air delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area 5 Leaf Metal Blades: Noiseless cooling Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. Bacteria Shield Honeycomb Pads Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens by 99.9 %.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolaire_115_1.jpg,115,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolaire-55-l-desert-air-cooler-ghracaae050.html,,Standard,SKUGHRACAAE050,22290.00,10290.00,N/A,Key Features Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area 5 Leaf Metal Blades: Noiseless cooling Bacteria Shield Honeycomb Pads Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens by 99.9 %. Multi directional Castor wheels with brakes: Easy portability 4 Way Swing: Ensures Multi-directional air flow & cooling,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolaire_55_1.jpg,5,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
