Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Sweep_Size_mm,Power_Consumption_W,Speed_RPM,Air_Delivery_CMM,Star_Rating,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdspdb159.html,,Standard,SKUFHEHDSPDB159,8320.00,5287.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_3.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdspdb180.html,,Standard,SKUFHEHDSPDB180,9980.00,7182.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_8.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdspdb150.html,,Standard,SKUFHEHDSPDB150,8110.00,5146.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_2.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdtpdb180.html,,Standard,SKUFHEHDTPDB180,11960.00,7595.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year Conforming to IS: 2312 -1967,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_5.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdtpdb249.html,,Standard,SKUFHEHDTPDB249,21870.00,13883.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year Conforming to IS: 2312 -1967,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdspdb120.html,,Standard,SKUFHEHDSPDB120,6720.00,4268.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdspdb189.html,,Standard,SKUFHEHDSPDB189,10560.00,5752.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_4.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdspdb249.html,,Standard,SKUFHEHDSPDB249,17965.00,13510.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_7.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,heavy-duty-exhaust,https://havells.com/business/for-industrial/heavy-duty-fans/heavy-duty-exhaust-fans/turboforce-fhehdspdb129.html,,Standard,SKUFHEHDSPDB129,6720.00,4268.00,N/A,N/A,Key Features Performance : Vibration free balanced impellers Operation : Dynamically balanced impellers for smooth & vibration-free operation Double Ball Bearing : Pre-lubricated double ball bearing for maintenance free running Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_1.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,air-circulator,https://havells.com/business/for-industrial/heavy-duty-fans/air-circulator/turboforce-pedestal-fhacpstscl18.html,,Standard,SKUFHACPSTSCL18,16330.00,10114.00,N/A,N/A,Key Features Performance : Double ball bearings ZZ (Permanent lubricated) for longer life Safety : Sturdy close-mesh guards with powder coating to ensure corrosion resistance as per safety standards Hi-Air Delivery : Aerodynamically designed blades for higher air delivery and minimum noise level Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turboforce_pedestal.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,air-circulator,https://havells.com/business/for-industrial/heavy-duty-fans/air-circulator/turboforce-pedestal-fhacpstscl24.html,,Standard,SKUFHACPSTSCL24,21230.00,13154.00,N/A,N/A,Key Features Performance : Double ball bearings ZZ (Permanent lubricated) for longer life Safety : Sturdy close-mesh guards with powder coating to ensure corrosion resistance as per safety standards Hi-Air Delivery : Aerodynamically designed blades for higher air delivery and minimum noise level Guarantee : 2 Year Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhacpstscl24_main.jpg,N/A,N/A,N/A,N/A,N/A,2 Year Guarantee,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,air-circulator,https://havells.com/business/for-industrial/heavy-duty-fans/air-circulator/turboforce-wall-fhacwstscl24.html,,Standard,SKUFHACWSTSCL24,19250.00,11919.00,N/A,N/A,Key Features Performance : Double ball bearings ZZ (Permanent lubricated) for longer life Safety : Sturdy close-mesh guards with powder coating to ensure corrosion resistance as per safety standards Hi-Air Delivery : Aerodynamically designed blades for higher air delivery and minimum noise level Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhacwstscl24_main.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,air-circulator,https://havells.com/business/for-industrial/heavy-duty-fans/air-circulator/turboforce-wall-fhacwstscl18.html,,Standard,SKUFHACWSTSCL18,14720.00,9119.00,N/A,N/A,Key Features Performance : Double ball bearings ZZ (Permanent lubricated) for longer life Safety : Sturdy close-mesh guards with powder coating to ensure corrosion resistance as per safety standards Hi-Air Delivery : Aerodynamically designed blades for higher air delivery and minimum noise level Guarantee : 2 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/u/turbo_forcewall.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,air-circulator,https://havells.com/business/for-industrial/heavy-duty-fans/air-circulator/turboforce-pedestal-fhacpstscl30.html,,Standard,SKUFHACPSTSCL30,28170.00,17450.00,N/A,N/A,"Key Features Design : Exotic rich looks with modern styling Air Delivery : 300 m³/min Guarantee : 2 Year Available in 450 mm, 600 mm and 750 mm sweep Guarantee : 2 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhacpstscl30_main.jpg,450,N/A,N/A,300,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
Havells,Industrial_Fans,air-circulator,https://havells.com/business/for-industrial/heavy-duty-fans/air-circulator/turboforce-wall-fhacwstscl30.html,,Standard,SKUFHACWSTSCL30,24500.00,15178.00,N/A,N/A,"Key Features Design : Exotic rich looks with modern styling Air Delivery : 300 m³/min Guarantee : 2 Year Available in 450 mm, 600 mm and 750 mm sweep Guarantee : 2 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhacwstscl30_main.jpg,450,N/A,N/A,300,N/A,N/A,N/A,"isi, ce, ISI, CE, ul",ON,India,N/A
