Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code,Color_Variant
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/4-scene-controller-2-m-acwav009.html,,Standard,SKUACWAV009,10350.00,7245.00,N/A,N/A,Key Features Scene Controller with 4 touch points Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav009_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/bell-push-relay-2-m-acwan004.html,,Standard,SKUACWAN004,9825.00,6878.00,N/A,N/A,Key Features Smart Bell with Signia Blue indication Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwan004_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-channel-dimmer-2-m-acwav008.html,,Standard,SKUACWAV008,10638.00,7447.00,N/A,N/A,"Key Features Smart Two Channel Phase Cut Dimmer - Leading edge, 8 steps Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav008_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/20-a-relay-switch-2-m-acwav007.html,,Standard,SKUACWAV007,9831.00,6882.00,N/A,N/A,Key Features Smart Single Channel Power Switch which comes with high sensitivity touch keys and LED indicator on each button that lets you control your connected heavy load appliances. 1 Feather Touch 2 Module 20 A Switch Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav007_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/smart-fan-regulator-2-m-acwaw008.html,,Standard,SKUACWAW008,9990.00,6993.00,N/A,N/A,"Key Features Smart capacitive fan regulator which provides you high sensitivity touch keys with LED indicator on each button that lets you control your fan speed with 8 steps. Two module, 8-step fan regulator with ON/ OFF control. Capacitive regulator for low power consumption at low speeds. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaw008_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/4-channel-relay-switch-2-m-acwav006.html,,Standard,SKUACWAV006,8719.00,6104.00,N/A,N/A,Key Features Smart Four Channel Switch with high sensitivity touch keys and LED indicator on each button that lets you control your connected appliances. 4-in-1 Feather Touch 2 Module 4 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaj006_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-channel-relay-switch-2-m-acwav005.html,,Standard,SKUACWAV005,7350.00,5145.00,N/A,N/A,Key Features Smart Two Channel Switch with high sensitivity touch keys and LED indicator on each button that lets you control your connected appliances. 2-in-1 Feather Touch 2 Module 2 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav005_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/4-scene-controller-white-2-m-acwak002.html,,Standard,SKUACWAK002,10350.00,9771.00,N/A,N/A,Key Features Scene Controller with 4 touch points Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsc001_1200_1_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/bell-push-relay-white-2-m-acwan003.html,,Standard,SKUACWAN003,9825.00,9275.00,N/A,N/A,Key Features Smart Bell with Signia Blue indication Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwan001_1200_1_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-ch-dimmer-2-m-signia-smart-white-acwav004.html,,Standard,SKUACWAV004,10638.00,10042.00,N/A,N/A,"Key Features Smart two channel phase cut dimmer - Leading edge, 8 steps Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/d/i/dimmer_sw_signia_smart_white_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/curtain-relay-switch-acwak001.html,,Standard,SKUACWAK001,10819.00,10213.00,N/A,N/A,Key Features Smart Curtain switch with a built-in controller that provides you high sensitivity touch keys and LED indicator on each button. Designed to control movements of motorized curtains. 2 module drape/curtain motor control. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaa023_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/20-a-relay-switch-acwav003.html,,Standard,SKUACWAV003,9831.00,9281.00,N/A,N/A,Key Features Smart single channel power switch which comes with high sensitivity touch keys and LED indicator on each button that lets you control your connected heavy load appliances. 1 Feather Touch 2 Module 20 A Switch Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold. *Signia Smart Modules are compatible with Signia Grande Plates. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwbd002_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/smart-fan-regulator-acwaw007.html,,Standard,SKUACWAW007,9990.00,9429.00,N/A,N/A,"Key Features Smart capacitive fan regulator which provides you high sensitivity touch keys with LED indicator on each button that lets you control your fan speed with 8 steps. Two module, 8-step fan regulator with ON/ OFF control. Capacitive regulator for low power consumption at low   speeds. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaw004_main_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/four-channel-relay-switch-acwav002.html,,Standard,SKUACWAV002,8719.00,8231.00,N/A,N/A,Key Features Smart four channel switch with high sensitivity   touch keys and LED indicator on each button that lets you control your connected appliances. 4-in-1 Feather Touch 2 Module 4 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/o/four_channel_relay_switch_1_.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/two-channel-relay-switch-acwav001.html,,Standard,SKUACWAV001,7350.00,6939.00,N/A,N/A,Key Features Smart two channel switch with high sensitivity touch keys and LED indicator on each button that lets you control your connected appliances. 2-in-1 Feather Touch 2 Module 2 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold. *Signia Smart Modules are compatible with Signia Grande Plates. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaj003_main_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/two-channel-relay-switch-acwaj003.html,,Standard,SKUACWAJ003,6619.00,4635.00,N/A,N/A,Key Features Smart two channel switch with high sensitivity   touch keys and LED indicator on each button that lets you control your connected appliances. 2-in-1 Feather Touch 2 Module 2 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold. *Signia Smart Modules are compatible with Signia Grande Plates. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaj003_main.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/four-channel-relay-switch-acwaj004.html,,Standard,SKUACWAJ004,8719.00,6105.00,N/A,N/A,Key Features Smart four channel switch with high sensitivity   touch keys and LED indicator on each button that lets you control your connected appliances. 4-in-1 Feather Touch 2 Module 4 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaj004_main.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/smart-fan-regulator-acwaw004.html,,Standard,SKUACWAW004,9788.00,6850.00,N/A,N/A,"Key Features Smart capacitive fan regulator which provides you high sensitivity touch keys with LED indicator on each button that lets you control your fan speed with 8 steps. Two module, 8-step fan regulator with ON/ OFF control. Capacitive regulator for low power consumption at low   speeds. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaw004_main.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-fan-4-on-off-switch-1-dimmer-2-scene-i-sense-3.html,,Standard,SKUACWSC002-c,10350.00,7245.00,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsc002_1200.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-fan-4-on-off-switch-1-dimmer-2-scene-i-sense-2.html,,Standard,SKUACWAN002-c,10350.00,7245.00,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwan002_1200_1_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-fan-4-on-off-switch-1-dimmer-2-scene-i-sense-1.html,,Standard,SKUACWBD007-c,10350.00,7245.00,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/d/i/dimmer_sw_signia_smart_grey_1_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/smart-fan-regulator-grey-acwaw006.html,,Standard,SKUACWAW006,9788.00,5879.00,N/A,N/A,"Key Features Smart capacitive fan regulator which provides you high sensitivity touch keys with LED indicator on each button that lets you control your fan speed with 8 steps. Two module, 8-step fan regulator with ON/ OFF control. Capacitive regulator for low power consumption at low   speeds. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/a/fan_controller_sw_signia_smart_grey_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/curtain-relay-switch-grey-acwaa027.html,,Standard,SKUACWAA027,10819.00,7574.00,N/A,N/A,Key Features Smart Curtain switch with a built-in controller that provides you high sensitivity touch keys and LED indicator on each button. Designed to control movements of motorized curtains. 2 module drape/curtain motor control. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/u/curtain_control_swith_signia_smart_grey_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/20-a-relay-switch-grey-acwbd006.html,,Standard,SKUACWBD006,9831.00,6882.00,N/A,N/A,Key Features Smart single channel power switch which comes with high sensitivity touch keys and LED indicator on each button that lets you control your connected heavy load appliances. 1 Feather Touch 2 Module 20 Amp Switch Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/2/0/20a_sw_signia_smart_grey_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/four-channel-relay-switch-grey-acwaj006.html,,Standard,SKUACWAJ006,8719.00,6103.00,N/A,N/A,Key Features Smart two channel switch with high sensitivity touch keys and LED indicator on each button that lets you control your connected appliances. 2-in-1 Feather Touch 2 Module 2 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/_/4_ch_switch_signia_smart_grey_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/two-channel-relay-switch-grey-acwaj005.html,,Standard,SKUACWAJ005,6619.00,4633.00,N/A,N/A,Key Features Smart two channel switch with high sensitivity touch keys and LED indicator on each button that lets you control your connected appliances. 2-in-1 Feather Touch 2 Module 2 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/2/_/2_ch_switch_signia_smart_grey_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/2-fan-4-on-off-switch-1-dimmer-2-scene-i-sense.html?color=61,,Grey,SKUACSRLDG012,23360.00,19296.00,N/A,N/A,Key Features Touch Interface : Feature touch to controls all the devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/2/_/2_dot_7_2_fan_4_onoff_switch_1dimmer_2_scene__20230407_black_copy.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,Grey
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/2-fan-4-on-off-switch-1-dimmer-2-scene-i-sense.html?color=68,,White,SKUACSRLDW012,23360.00,19296.00,N/A,N/A,Key Features Touch Interface : Feather touch Control all devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/2/_/2_dot_7_2_fan_4_onoff_switch_1dimmer_2_scene__20230407_white_copy.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,White
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/1-fan-3-on-off-switch-1-dimmer-2-scene-i-sense.html?color=61,,Grey,SKUACSDFDG015,20365.00,16821.00,N/A,N/A,Key Features Touch Interface : Feather touch Control all devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/1/_/1_dot_5_1_fan_3_onoff_switch_1_dimmer_2_scene__20230407_black_copy.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,Grey
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/1-fan-3-on-off-switch-1-dimmer-2-scene-i-sense.html?color=68,,White,SKUACSDFDW015,20365.00,16821.00,N/A,N/A,Key Features Touch Interface : Feather touch Control all devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/1/_/1_dot_5_1_fan_3_onoff_switch_1_dimmer_2_scene__20230407_white_copy.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,White
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/1-fan-regulator-3-on-off-switch-2-scene-i-sense.html?color=61,,Grey,SKUACSRLDG015,15090.00,12464.00,N/A,N/A,Key Features Touch Interface : Feather touch Control all devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/1/_/1_dot_3_20230407_black_copy.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,Grey
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/1-fan-regulator-3-on-off-switch-2-scene-i-sense.html?color=68,,White,SKUACSRLDW015,15090.00,12464.00,N/A,N/A,Key Features Touch Interface : Feather touch Control all devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/1/_/1_dot_3_20230407_white_copy.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,White
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/intelligent-gateway-for-i-sense-acwsxdw012.html?color=61,,Grey,SKUACWSXDW012,9220.00,7616.00,N/A,N/A,"Key Features Compact & Portable : Wireless no wire installation, Compact & Light weight, can be placed any where in the home DC powered : 5 V DC supply will be required for powering on the device. can be powered by existing 
5 W Adapters & micro usb cables Glossy Finish : Attractive Glossy finish design Multiple Pairing  : Single gateway gets paired upto 10 Devices  I sense Devices Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsxdw012_1200_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,Grey
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/intelligent-gateway-for-i-sense-acwsxdw012.html?color=68,,White,SKUACWSXDW012,9220.00,7616.00,N/A,N/A,"Key Features Compact & Portable : Wireless no wire installation, Compact & Light weight, can be placed any where in the home DC powered : 5 V DC supply will be required for powering on the device. can be powered by existing 
5 W Adapters & micro usb cables Glossy Finish : Attractive Glossy finish design Multiple Pairing  : Single gateway gets paired upto 10 Devices  I sense Devices Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsxdw012_1200_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,White
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/1-curtain-controller-and-2-scene-i-sense.html?color=61,,Grey,SKUACSSXDG101,13240.00,10940.00,N/A,N/A,Key Features Touch Interface : Feather touch Control all devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/d/o/dot-2_1_curtain_controller_and_2_scenes__20230407_black_copy.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,Grey
Havells,Smart_Home,monoblock-smart-panel,https://havells.com/crabtree/smart-home/monoblock-smart-panel/1-curtain-controller-and-2-scene-i-sense.html?color=68,,White,SKUACSSXIW101,13240.00,8675.00,N/A,N/A,Key Features Touch Interface : Feather touch Control all devices Haptic Feedback : There is haptic feedback for touch response White Color Grid line Locator : White soft glow guide lights work as locators Warranty : 1 Year against manufacturing defects Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/d/o/dot-2_1_curtain_controller_and_2_scenes__20230407_white_copy_1.jpg,Warranty : 1 Year,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,White
Havells,Smart_Home,smart-switches,https://havells.com/crabtree/smart-home/smart-switches/mini-surface-pir-passive-infrared-sensor-acsba011.html,,Standard,SKUACSBA011,1515.00,899.00,N/A,N/A,Key Features Power Frequency : 50 Hz - 60 Hz Working Temperature : -20 °C to +40 °C Ambient Light : <10 lx - 2000 lx (Adjustable) Working Humidity : 93 % RH Time Delay : min 10 sec +/- 3 sec | Max 7 min +/- 2 min Installing Height : 2.2 m - 4 m Detection Motion Speed : 0.6 m/s - 1.5 m/s Rated Load : 100 W (incandescent lamp) | 100 W (energy saving lamp and LED) Detection Distance : max 6 m (<24 °C) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acsba011_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-switches,https://havells.com/crabtree/smart-home/smart-switches/dual-mount-pir-passive-infrared-sensor-acsba004.html,,Standard,SKUACSBA004,2730.00,1599.00,N/A,N/A,Key Features Power Frequency : 50 Hz - 60 Hz Working Temperature : -20 °C to +40 °C Ambient Light : <10 lx - 2000 lx (Adjustable) Working Humidity : 93 % RH Time Delay : min 10 sec +/- 3 sec | Max 7 min +/- 2 min Installing Height : 2.2 m - 4 m Detection Motion Speed : 0.6 m/s - 1.5 m/s Rated Load : 100 W (incandescent lamp) | 100 W (energy saving lamp and LED) Detection Distance : max 6 m (<24 °C) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acsba004_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-switches,https://havells.com/crabtree/smart-home/smart-switches/16-a-wi-fi-enabled-smart-socket-acst161603.html,,Standard,SKUACST161603,1950.00,875.00,N/A,N/A,Key Features Easy to use/install/maintain : User friendly usage as it gets connected to local wifi. Make any socket Smart : Take control of the Socket remotely Peace of mind : Energy Saving Reduce time spent in home management Device management : Monitor the devices(on/off/status)locally and from remote by mobile app Schedule the control of the devices No Hub Required : Directly connect to wifi and operates – No hub required Safety : Inbuilt fuse for overload protection,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acst161603_main.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
