Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Product_URL,MRP,Selling_Price,Dealer_Price,Approx_Price,SKU,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code,Product_Description
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/catalog/product/view/id/238266/s/solar-pv-module-mono-perc-crystalline/category/3709/,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/s/o/solar_pv_module_mono_perc_crystalline_1__1.jpg,N/A,N/A,N/A,N/A,India,N/A,MonoPERC 550 Wp 550 Wp ₹ 99 99 99 999.00 (incl. of all taxes) Multi Busbar Technology High Output Power Low Light Performance View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/catalog/product/view/id/253972/s/solar-pv-module-topcon-topcon-595w/category/3709/,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/s/o/solar_pv_module_topcon_1__1.jpg,N/A,N/A,N/A,N/A,India,N/A,TopCon 595 Wp 595 Wp ₹ 99 99 99 999.00 (incl. of all taxes) Multi Busbar Technology High Output Power Low Light Performance View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/for-industrial/solar/solar-residential/enviro-gti-1100-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_gti_1100_ng.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 1.1KT G3 1.1 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Built in Zero Export for Residential Application View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/for-industrial/solar/solar-residential/enviro-gti-2200-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/b/a/base_images_13__2_1_2.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 2.2KT G3 2.2 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Built in Zero Export for Residential Application View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/for-industrial/solar/solar-residential/enviro-gti-3300-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/b/a/base_images_13__2_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 3.3KT G3 3.3 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Built in Zero Export for Residential Application View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/for-industrial/solar/solar-residential/enviro-gti-4000-d.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_gti_4000_d.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 4KT G3 4 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Built in Zero Export for Residential Application View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/for-industrial/solar/solar-residential/enviro-5500-tx-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_gti_5500_tx-ng_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 5500 TX-NG 5.5 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/for-industrial/solar/solar-residential/enviro-6000-tx-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_6000_tx_ng.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 6000 TX-NG 6 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-residential,https://havells.com/business/for-industrial/solar/solar-residential.html,,https://havells.com/business/for-industrial/solar/solar-residential/enviro-8800-tx-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_gti_8800_tx-ng_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 8800 TX-NG 8.8 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/catalog/product/view/id/238266/s/solar-pv-module-mono-perc-crystalline/category/3712/,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/s/o/solar_pv_module_mono_perc_crystalline_1__1.jpg,N/A,N/A,N/A,N/A,India,N/A,MonoPERC 550 Wp 550 Wp ₹ 99 99 99 999.00 (incl. of all taxes) Multi Busbar Technology High Output Power Low Light Performance View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/catalog/product/view/id/253972/s/solar-pv-module-topcon-topcon-595w/category/3712/,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/s/o/solar_pv_module_topcon_1__1.jpg,N/A,N/A,N/A,N/A,India,N/A,TopCon 595 Wp 595 Wp ₹ 99 99 99 999.00 (incl. of all taxes) Multi Busbar Technology High Output Power Low Light Performance View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-11000-tx-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_gti_8800_tx-ng_1_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 11000 TX-NG 11 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-15kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_15kt_ng_1_.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 15KT-NG 15 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-20kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_15kt_ng_1__1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 20KT-NG 20 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-24kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_gti_24kt-ng_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 24KT-NG 24 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-25kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/2/5/25_kt_ng_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 25KT-NG 25 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-30kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/2/5/25_kt_ng_1_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 30KT-NG 30 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-40kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/2/5/25_kt_ng_2.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 40KT-NG 40 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-50kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/2/5/25_kt_ng_3.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 50KT-NG 50 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-60kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_60kt_ng_1__1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 60KT-NG 60 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-80kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_60kt_ng_1__2.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 80KT-NG 80 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-100kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_100kt_ng_1__1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 100KT-NG 100 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-110kt-ng.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_100kt_ng_1__1_2.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 110KT-NG 110 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/for-industrial/solar/solar-industrial/enviro-255kw-hv.html,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/e/n/enviro_100kt_ng_1__2_1.jpg,N/A,N/A,N/A,N/A,India,N/A,Enviro GTi 255KW-HV 255 kW ₹ 99 99 99 999.00 (incl. of all taxes) 10 Year Standard Warranty BIS and IEC Certified Optional as separate device View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html,,https://havells.com/business/catalog/product/view/id/121966/s/industrial-solar-off-grid-pcu/category/3712/,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/i/n/industrial_solar_off_grid_pcu.jpg,N/A,N/A,N/A,N/A,India,N/A,Solar Off Grid PCU ₹ 99 99 99 999.00 (incl. of all taxes) 3 Stage intelligent battery charging. Solar/Grid Priority Wave Form- Pure Sine Wave Technology-for better life of equipment. View Details Add to Wish List
Havells,Solar,solar-industrial,https://havells.com/business/for-industrial/solar/solar-industrial.html?p=2,,https://havells.com/business/catalog/product/view/id/121968/s/industrial-havells-solar-battery/category/3712/,999999999,999999999,N/A,N/A,N/A,https://havells.com/media/catalog/product/cache/2051dfe7399bbb12fcdb3313c6f79cc4/h/a/havells_solar_battery.jpg,N/A,N/A,N/A,N/A,India,N/A,Havells Solar Battery ₹ 99 99 99 999.00 (incl. of all taxes) Tubular low maintenance Battery range from 12 V 35 mAh to 12 V 200 mAh High purity Lead Calcium Tin Silver alloy for good corrosion resistance View Details Add to Wish List
