Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Capacity_L,Purification_Type,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-cretes-alkaline-water-purifier-ghwrane025.html,,Standard,SKUGHWRANE025,43495.00,24490.00,N/A,"Key Features Futuristic Design : Featuring a classy design, the water purifier comes in Black & Grey 100 % RO+UV Purification: Assured safe & healthy water Double Protection : 100 % RO + Germicidal UV LED purification with 24*7 tank sterilization Installation & Warranty : Experience best in class care 360 service & manufacturers warranty cover for 1 year standard warranty + 1 Year Comprehensive Warranty. T&C apply Hygienic flow control faucet easy to dispense & zero splash of filtered water stored in SS tank Option to dispense water in absence of electricity also through manual dispensing valve iProtect Purification Monitoring : Constantly monitors the purification process, and ensures safe water Bacteriostatic alkaline taste enhancer cartridge Advanced electronics ensure purifier performs well in the voltage range of 150 V - 250 V. Protects your purifier from voltage fluctuations LED Display with Smart Alerts. (a) Power (b) Purification Process (c) Tank full (d) Filter Life",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/r/cretes.jpg,N/A,RO+UV+Alkaline,N/A,N/A,"CE, ce, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-auriga-alkaline-water-purifier-ghwrare025.html,,Standard,SKUGHWRARE025,29990.00,22990.00,N/A,"Key Features Futuristic Design : Featuring a classy design, the water purifier comes in Black & Grey 100 % RO+UV Purification: Assured safe & healthy water Double Protection : 100 % RO + Germicidal UV LED purification with 24*7 tank sterilization Installation & Warranty : Experience best in class care 360 service & manufacturers warranty cover for 1 year standard warranty + 1 Year comprehensive warranty. T&C apply 100 % water passes through the RO membrane to ensure absolutely safe and pure drinking water. An optimum exposure of water to UV-C LED radiation in storage tank makes water free from microbiological threats like pathogenic bacteria & viruses Hygienic flow control faucet easy to dispense & zero splash of filtered water stored in SS tank 24*7 Tank Sterilization : UV LED prevents the Bio-film formation. Maintains hygiene of water and stainless steel tank Mineral Fortification : It corrects the pH of purified water iProtect Purification Monitoring : Constantly monitors the purification process, and ensures safe water LED Display with Smart Alerts : (a) Power (b) Purification process (c) Tank full (d) Filter life",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/u/auriga-alkaline.jpg,N/A,RO+UV,N/A,N/A,"CE, ce, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-mirak-alkaline-water-purifier-ghwrmas025.html,,Standard,SKUGHWRMAS025,26990.00,19990.00,N/A,"Key Features Futuristic Design : Featuring a classy design, the water purifier comes in Black & Grey 100 % RO+UV Purification: Assured safe & healthy Water Double Protection : 100 % RO + Germicidal UV LED purification Installation & Warranty : Experience best in class care 360 service & manufacturers warranty cover for 1 year standard warranty. T&C apply 100% water passes through the RO membrane to ensure absolutely safe and pure drinking water. An optimum exposure of water to UV-C LED radiation in storage tank makes water free from impurities & microbiological threats Hygienic flow control faucet easy to dispense & zero splash of filtered water stored in SS tank Easy to dispense, zero splash, hygienic dial delivers desired volume of water Purification through Germicidal UV C LED radiation in storage tank makes water free from microbiological threats like pathogenic bacteria and viruses iProtect Purification Monitoring : Constantly monitors the purification process, and ensures safe water LED display with Smart alerts. (a) Power (b) Purification process (c) Tank full (d) Error indication",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/i/mirak-alkaline.jpg,N/A,RO+UV,N/A,N/A,"CE, ce, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-carina-pro-alkaline-water-purifier-ghwrhns025.html,,Standard,SKUGHWRHNS025,29495.00,16000.00,N/A,"Key Features Futuristic Design : Featuring a classy design, the water purifier comes in grey colour. 100 % RO + UV Purification: Assured Safe & Healthy Water Absolute Safety with Double Purification through RO & UV : 100 % water passes through RO membrane followed by UV chamber removing chemical impurities and microbiological contaminants Installation & Warranty : Experience best in class care 360 service & manufacturers warranty cover for 1 year standard warranty. T&C apply. Hygienic flow control faucet easy to dispense & zero splash of filtered water stored in SS tank Food grade plastic tank Bacteriostatic Copper + Zinc iProtect Purification Monitoring : Constantly monitors the purification process, and ensures safe water. LED Display with Smart alerts :  (a) Power (b) Purification process (c) Tank full Water purifier is connected to ambient temperature water supply only",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/a/carina-pro.jpg,N/A,RO+UV,N/A,N/A,"CE, ce, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-loop-alkaline-water-purifier-ghwrlps015.html,,Standard,SKUGHWRLPS015,26995.00,15450.00,N/A,"Key Features Futuristic Design : Featuring a classy design with hygienic flow controller and zero splash dispensing comes with black colour Best in class Purification Technology : 5 stages of purification delivers alkaline water with 6 L tank Convenience Features : Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. Other features include maintenance and error alert, process indicator, and zero splash hygienic water dispensing.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrlps015.jpg,6,Alkaline,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-albus-kopere-alkaline-water-purifier-ghwraas015.html,,Standard,SKUGHWRAAS015,29995.00,14990.00,N/A,"Key Features Futuristic Design for Style Statement : Compact styling with black color and copper trim and 6 L capacity water tank and hygienic flow control faucet. Unique 7 Stage 100% RO Purification Assured Safety  : 7 stages of 100% RO &  UV purification delivers alkaline water. Revitalizer restructures water molecules for improved hydration, and mineral absorption Convenience Features : Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. Other features include maintenance and error alert, process indicator, digital clock, and zero splash hygienic water dispensing. Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwraas015.jpg,6,RO+UV+Alkaline,N/A,https://havells.com/media/wysiwyg/Manuals/Albus-Kopere-Alkaline-Manual.pdf,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-fab-alkaline-water-purifier-ghwrhfk015.html,,Standard,SKUGHWRHFK015,32495.00,13950.00,N/A,"Key Features Futuristic Design : Featuring a classy design with hygienic flow controller and zero splash dispensing comes with aqua green and white color Best-in-class Purification Technology : 7 stages of purification delivers alkaline water with 7 L transparent removable tank Convenient User Friendly Features : It features a space-saving design that can be mounted in a corner, on a wall or kept on a table top. Other than iProtect auto water cut-off, it also boasts consumer-friendly alerts for self-diagnostic, purification process, tank full, low water pressure and error alerts for UV, SV and pump failure Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrhfk015.jpg,7,UV+Alkaline,N/A,https://integration-5ojmyuq-hkosayfn2zwv6.ap-3.magentosite.cloud/media/wysiwyg/Brochure-and-pricelist/Water_Purifier/Catalogue_Havells_Water_Purifier.pdf,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-max-alkaline-water-purifier-ghwrpmd015.html,,Standard,SKUGHWRPMD015,32195.00,15950.00,N/A,"Key Features Futuristic Design : Its unique design is only of its kind that lets you to mount it in a corner. Featuring a compact design, it comes in a vibrant Pearl White and Navy blue color combination with a transparent water tank. Best-in-class Purification Technology : 8 stages of 100% RO &  UV purification delivers alkaline water. Convenience Features : Features space-saving design that can be mounted in a corner, on a wall or kept on a table top. iProtect purification monitoring cuts off water if it is no longer safe to drink, consumer-friendly alerts for self-diagnostic, purification process, tank full, low water pressure, and error alerts for UV, SV, and pump failure. Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrpmd015.jpg,N/A,RO+UV+Alkaline,N/A,https://integration-5ojmyuq-hkosayfn2zwv6.ap-3.magentosite.cloud/media/wysiwyg/Brochure-and-pricelist/Water_Purifier/Catalogue_Havells_Water_Purifier.pdf,"CE, ce, bee, ul, Ce, ISI, isi",standard,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-alkaline-utc-water-purifier-ghwruaw015.html,,Standard,SKUGHWRUAW015,39595.00,20300.00,N/A,"Key Features Futuristic Design : A compact and futuristic product built with focus on hygeine of product and process with plasto steel tank. Best-in-class Purification Technology : 8 stages of 100% RO &  UV purification delivers alkaline water. Revitalizer restructures water molecules for improved hydration, and mineral absorption. Convenience Features : Compact design with 360˚ Chrome finished faucet and digital process indicators. Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwruaw015.jpg,N/A,RO+UV+Alkaline,N/A,N/A,"CE, ce, bee, Bee, Ce, ul, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-delite-alkaline-plus-water-purifier-ghwrdpk015.html,,Standard,SKUGHWRDPK015,36595.00,19450.00,N/A,"Key Features Futuristic Design : Featuring a classy design with hygienic flow controller and zero splash dispensing comes with sea green & white color with textured design Best-in-class Purification Technology : 11 stages of 100 % RO &  UV purification delivers alkaline water. Revitalizer restructures water molecules for improved hydration, and mineral absorption Convenient User Friendly Features : Features iProtect purification monitoring that cuts off water if it is no longer safe to drink. UV LED lamp in tank given purified water all time. Other features include maintenance and error alert, filter life indicator, process indicator and zero splash hygienic water dispensing Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrdpk015.jpg,N/A,RO+UV+Alkaline,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,alkaline-purifier,https://havells.com/home-appliances/water-purifier/alkaline-water-purifier/havells-gracia-alkaline-water-purifier-ghwrgas015.html,,Standard,SKUGHWRGAS015,47895.00,22990.00,N/A,"Key Features Hot l Warm l Ambient, Futuristic Design : Compact & contemporary design & aesthetics with stainless steel tank, the water purifier comes in silver & black color. Best-in-class Purification Technology : 10 stages of 100 % RO &  UV purification delivers alkaline water. Revitalizer restructures water molecules for improved hydration, and mineral absorption Convenience Features : Hot I warm I ambient water, complete touch display & dispensing, child lock protection from hot water, LED color temperature guide, i-Protect purification monitoring that cuts off water if it is no longer safe to drink. UV LED lamp in tank given purified water all time. other features include maintenance and error alert, process indicator, digital clock, and zero splash hygienic water dispensing Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrgas015.jpg,N/A,RO+UV+Alkaline,N/A,https://havells.com/media/wysiwyg/Manuals/Gracia-Alkaline.pdf,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,ro-uf-purifiers,https://havells.com/home-appliances/water-purifier/ro-and-uf-water-purifiers/havells-albus-water-purifier-ghwralw015.html,,Standard,SKUGHWRALW015,21395.00,12500.00,N/A,"Key Features Futuristic Design for Style Statement : Compact styling with black color and 6 L capacity water tank and hygienic flow control faucet Unique 5 Stage 100% RO Purification Assured Safety  :  During purification stage 100% water passes through RO membrane followed by UF membrane removing chemical impurities and microbiological contaminants thus ensures absolute safe and healthy drinking water Convenience Features : It balances pH level of purified water and re mineralizes it by adding naturally occurring essential minerals and salts. It also removes organic residues and VOC, which enhances the taste of purified water and results in healthier water Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwralw015.jpg,6,RO+UF,N/A,N/A,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,ro-uf-purifiers,https://havells.com/home-appliances/water-purifier/ro-and-uf-water-purifiers/havells-aquas-water-purifier-ghwraqd015.html,,Standard,SKUGHWRAQD015,17499.00,10500.00,N/A,"Key Features Futuristic Design : Featuring a classy design with hygienic flow controller and zero splash dispensing comes with blue and white color Best-in-class Purification Technology : 5 stages of purification delivers pH balanced water with 7 L transparent removable tank Convenient User Friendly Features : It features a space-saving design that can be mounted in a corner, on a wall or kept on a table top, smart alerts, purification process, tank full Installation & Warranty : Experience best in class Care 360 Service & manufacturers warranty cover for 1 year. T&C apply. cover your product with attractive extended warranty plans to enjoy life long safe and healthy drinking water",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwraqd015.jpg,7,N/A,N/A,https://integration-5ojmyuq-hkosayfn2zwv6.ap-3.magentosite.cloud/media/wysiwyg/Brochure-and-pricelist/Water_Purifier/Catalogue_Havells_Water_Purifier.pdf,"CE, ce, bee, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,water-dispenser,https://havells.com/home-appliances/water-purifier/water-dispenser/havells-polaris-water-dispenser-ghwrplp0906.html,,Standard,SKUGHWRPLP0906,24995.00,12640.00,N/A,"Key Features Compact Design with Top Water Bottle Loading - Futuristic design, superior dual tone color finish, compact design and functional LEDs display panel, Push down sleek tap. Convenience Features - Convenient space for loading of water bottle at Top CFC Free. Eco friendly refrigerant (R – 134 a) It has three options for water dispensing Hot / Warm / Ambient water. Energy Efficient & Low Power Consumption Cooling Capacity 3 L / hour < 16 °C Heating Capcity 5 L / hour at (80 + 5) °C LEDs Display Panel - LEDs on display panel indicate to user for process and alerts Hot Water Storage Capacity 1L Approx. Cold / Normal Water Storage Capacity 3 L Approx.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwrplp0906.jpg,3,N/A,N/A,N/A,"CE, ce, ul, Ce, ISI, isi",onsWashing,India,N/A
Havells,Water_Purifiers,water-dispenser,https://havells.com/home-appliances/water-purifier/water-dispenser/havells-klassic-water-dispenser-ghwukhw0906.html,,Standard,SKUGHWUKHW0906,35995.00,18800.00,N/A,"Key Features Compact Design with Bottom Water Bottle Storage - Futuristic design, superior dual tone color finish, compact design and functional LEDs display panel, Push down sleek tap. Convenience Features - Convenient space for loading of water bottle at bottom cabinet. CFC Free. Eco friendly refrigerant (R – 134 a) It has three options for water dispensing Hot / Warm / Ambient water. Energy Efficient & Low Power Consumption Cooling Capacity 3 L / hour < 16 °C Heating Capcity 5 L / hour at (80 + 5) °C LEDs Display Panel - LEDs on display panel indicate to user for process and alerts Hot Water Storage Capacity 1L Approx. Cold / Normal Water Storage Capacity 3 L Approx.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghwukhw0906_1_.jpg,3,N/A,N/A,N/A,"CE, ce, ul, Ce, ISI, isi",onsWashing,India,N/A
